"Time_point","gene","cell_line","guide","replicate","value","biotype"
66,"PPIA.TR1","A549","g3","R2",14.54849,"Protein-coding gene"
72,"PPIA.TR1","A549","g3","R2",14.2642,"Protein-coding gene"
78,"PPIA.TR1","A549","g3","R2",14.01116,"Protein-coding gene"
84,"PPIA.TR1","A549","g3","R2",13.97058,"Protein-coding gene"
90,"PPIA.TR1","A549","g3","R2",13.82191,"Protein-coding gene"
0,"RPS16","A549","g1","R1",26.55282,"CEG"
6,"RPS16","A549","g1","R1",30.49007,"CEG"
12,"RPS16","A549","g1","R1",34.33143,"CEG"
18,"RPS16","A549","g1","R1",37.38088,"CEG"
24,"RPS16","A549","g1","R1",39.90647,"CEG"
30,"RPS16","A549","g1","R1",41.64798,"CEG"
36,"RPS16","A549","g1","R1",42.80132,"CEG"
42,"RPS16","A549","g1","R1",44.36422,"CEG"
48,"RPS16","A549","g1","R1",45.19447,"CEG"
54,"RPS16","A549","g1","R1",45.73172,"CEG"
60,"RPS16","A549","g1","R1",46.44217,"CEG"
66,"RPS16","A549","g1","R1",46.78238,"CEG"
72,"RPS16","A549","g1","R1",47.12804,"CEG"
78,"RPS16","A549","g1","R1",46.91055,"CEG"
84,"RPS16","A549","g1","R1",46.79515,"CEG"
90,"RPS16","A549","g1","R1",46.34791,"CEG"
0,"RPS16","A549","g1","R2",23.98996,"CEG"
6,"RPS16","A549","g1","R2",26.82549,"CEG"
12,"RPS16","A549","g1","R2",30.12552,"CEG"
18,"RPS16","A549","g1","R2",32.68908,"CEG"
24,"RPS16","A549","g1","R2",34.27227,"CEG"
30,"RPS16","A549","g1","R2",34.95459,"CEG"
36,"RPS16","A549","g1","R2",35.62671,"CEG"
42,"RPS16","A549","g1","R2",36.23757,"CEG"
48,"RPS16","A549","g1","R2",36.35908,"CEG"
54,"RPS16","A549","g1","R2",36.43732,"CEG"
60,"RPS16","A549","g1","R2",35.94575,"CEG"
66,"RPS16","A549","g1","R2",35.62138,"CEG"
72,"RPS16","A549","g1","R2",35.48024,"CEG"
78,"RPS16","A549","g1","R2",35.00543,"CEG"
84,"RPS16","A549","g1","R2",33.89633,"CEG"
90,"RPS16","A549","g1","R2",32.81274,"CEG"
0,"RPS16","A549","g2","R1",17.94452,"CEG"
6,"RPS16","A549","g2","R1",18.52027,"CEG"
12,"RPS16","A549","g2","R1",18.71003,"CEG"
18,"RPS16","A549","g2","R1",18.47974,"CEG"
24,"RPS16","A549","g2","R1",17.87493,"CEG"
30,"RPS16","A549","g2","R1",17.15706,"CEG"
36,"RPS16","A549","g2","R1",16.19296,"CEG"
42,"RPS16","A549","g2","R1",15.33543,"CEG"
48,"RPS16","A549","g2","R1",14.89393,"CEG"
54,"RPS16","A549","g2","R1",14.50407,"CEG"
60,"RPS16","A549","g2","R1",13.99513,"CEG"
66,"RPS16","A549","g2","R1",12.8181,"CEG"
72,"RPS16","A549","g2","R1",11.61834,"CEG"
78,"RPS16","A549","g2","R1",11.26016,"CEG"
84,"RPS16","A549","g2","R1",10.98858,"CEG"
90,"RPS16","A549","g2","R1",10.92804,"CEG"
0,"RPS16","A549","g2","R2",20.29818,"CEG"
6,"RPS16","A549","g2","R2",20.60984,"CEG"
12,"RPS16","A549","g2","R2",20.52717,"CEG"
18,"RPS16","A549","g2","R2",19.8492,"CEG"
24,"RPS16","A549","g2","R2",18.51218,"CEG"
30,"RPS16","A549","g2","R2",17.15501,"CEG"
36,"RPS16","A549","g2","R2",15.9676,"CEG"
42,"RPS16","A549","g2","R2",14.82731,"CEG"
48,"RPS16","A549","g2","R2",13.62726,"CEG"
54,"RPS16","A549","g2","R2",11.6948,"CEG"
60,"RPS16","A549","g2","R2",10.99635,"CEG"
66,"RPS16","A549","g2","R2",11.1766,"CEG"
72,"RPS16","A549","g2","R2",11.24874,"CEG"
78,"RPS16","A549","g2","R2",11.14758,"CEG"
84,"RPS16","A549","g2","R2",10.62143,"CEG"
90,"RPS16","A549","g2","R2",36.74939,"CEG"
0,"RPS16","A549","g3","R1",24.50759,"CEG"
6,"RPS16","A549","g3","R1",25.44871,"CEG"
12,"RPS16","A549","g3","R1",25.46764,"CEG"
18,"RPS16","A549","g3","R1",25.50434,"CEG"
24,"RPS16","A549","g3","R1",24.01787,"CEG"
30,"RPS16","A549","g3","R1",22.51303,"CEG"
36,"RPS16","A549","g3","R1",20.69961,"CEG"
42,"RPS16","A549","g3","R1",18.99443,"CEG"
48,"RPS16","A549","g3","R1",16.95109,"CEG"
54,"RPS16","A549","g3","R1",13.87151,"CEG"
60,"RPS16","A549","g3","R1",13.19766,"CEG"
66,"RPS16","A549","g3","R1",12.80425,"CEG"
72,"RPS16","A549","g3","R1",12.87453,"CEG"
78,"RPS16","A549","g3","R1",12.48726,"CEG"
84,"RPS16","A549","g3","R1",11.26176,"CEG"
90,"RPS16","A549","g3","R1",29.63724,"CEG"
0,"RPS16","A549","g3","R2",21.04902,"CEG"
6,"RPS16","A549","g3","R2",22.1308,"CEG"
12,"RPS16","A549","g3","R2",22.65811,"CEG"
18,"RPS16","A549","g3","R2",22.13621,"CEG"
24,"RPS16","A549","g3","R2",21.04299,"CEG"
30,"RPS16","A549","g3","R2",19.66822,"CEG"
36,"RPS16","A549","g3","R2",18.38504,"CEG"
42,"RPS16","A549","g3","R2",17.14393,"CEG"
48,"RPS16","A549","g3","R2",15.16163,"CEG"
54,"RPS16","A549","g3","R2",12.97097,"CEG"
60,"RPS16","A549","g3","R2",12.29004,"CEG"
66,"RPS16","A549","g3","R2",11.89865,"CEG"
72,"RPS16","A549","g3","R2",11.89264,"CEG"
78,"RPS16","A549","g3","R2",11.32942,"CEG"
84,"RPS16","A549","g3","R2",35.52868,"CEG"
90,"RPS16","A549","g3","R2",23.34875,"CEG"
0,"PPIA.TR2","A549","g1","R1",24.53991,"Protein-coding gene"
6,"PPIA.TR2","A549","g1","R1",29.8205,"Protein-coding gene"
12,"PPIA.TR2","A549","g1","R1",36.07586,"Protein-coding gene"
18,"PPIA.TR2","A549","g1","R1",42.66658,"Protein-coding gene"
24,"PPIA.TR2","A549","g1","R1",50.82427,"Protein-coding gene"
30,"PPIA.TR2","A549","g1","R1",58.98063,"Protein-coding gene"
36,"PPIA.TR2","A549","g1","R1",67.32821,"Protein-coding gene"
42,"PPIA.TR2","A549","g1","R1",76.38863,"Protein-coding gene"
48,"PPIA.TR2","A549","g1","R1",83.59604,"Protein-coding gene"
54,"PPIA.TR2","A549","g1","R1",89.68055,"Protein-coding gene"
60,"PPIA.TR2","A549","g1","R1",92.92054,"Protein-coding gene"
66,"PPIA.TR2","A549","g1","R1",95.17846,"Protein-coding gene"
72,"PPIA.TR2","A549","g1","R1",96.35424,"Protein-coding gene"
78,"PPIA.TR2","A549","g1","R1",96.71615,"Protein-coding gene"
84,"PPIA.TR2","A549","g1","R1",96.89871,"Protein-coding gene"
90,"PPIA.TR2","A549","g1","R1",96.59914,"Protein-coding gene"
0,"PPIA.TR2","A549","g1","R2",26.53604,"Protein-coding gene"
6,"PPIA.TR2","A549","g1","R2",33.13886,"Protein-coding gene"
12,"PPIA.TR2","A549","g1","R2",41.24641,"Protein-coding gene"
18,"PPIA.TR2","A549","g1","R2",50.65353,"Protein-coding gene"
24,"PPIA.TR2","A549","g1","R2",60.66459,"Protein-coding gene"
30,"PPIA.TR2","A549","g1","R2",71.7572,"Protein-coding gene"
36,"PPIA.TR2","A549","g1","R2",82.00851,"Protein-coding gene"
42,"PPIA.TR2","A549","g1","R2",91.1539,"Protein-coding gene"
48,"PPIA.TR2","A549","g1","R2",96.20742,"Protein-coding gene"
54,"PPIA.TR2","A549","g1","R2",98.78688,"Protein-coding gene"
60,"PPIA.TR2","A549","g1","R2",99.6255,"Protein-coding gene"
66,"PPIA.TR2","A549","g1","R2",99.89705,"Protein-coding gene"
72,"PPIA.TR2","A549","g1","R2",99.99877,"Protein-coding gene"
78,"PPIA.TR2","A549","g1","R2",99.99141,"Protein-coding gene"
84,"PPIA.TR2","A549","g1","R2",100,"Protein-coding gene"
90,"PPIA.TR2","A549","g1","R2",99.99978,"Protein-coding gene"
0,"PPIA.TR2","A549","g2","R1",25.43008,"Protein-coding gene"
6,"PPIA.TR2","A549","g2","R1",31.16838,"Protein-coding gene"
12,"PPIA.TR2","A549","g2","R1",39.14151,"Protein-coding gene"
18,"PPIA.TR2","A549","g2","R1",48.20497,"Protein-coding gene"
24,"PPIA.TR2","A549","g2","R1",58.59042,"Protein-coding gene"
30,"PPIA.TR2","A549","g2","R1",71.51041,"Protein-coding gene"
36,"PPIA.TR2","A549","g2","R1",83.03152,"Protein-coding gene"
42,"PPIA.TR2","A549","g2","R1",91.53271,"Protein-coding gene"
48,"PPIA.TR2","A549","g2","R1",96.09491,"Protein-coding gene"
54,"PPIA.TR2","A549","g2","R1",98.47482,"Protein-coding gene"
60,"PPIA.TR2","A549","g2","R1",99.86316,"Protein-coding gene"
66,"PPIA.TR2","A549","g2","R1",99.96442,"Protein-coding gene"
72,"PPIA.TR2","A549","g2","R1",99.9985,"Protein-coding gene"
78,"PPIA.TR2","A549","g2","R1",99.99924,"Protein-coding gene"
84,"PPIA.TR2","A549","g2","R1",99.99921,"Protein-coding gene"
90,"PPIA.TR2","A549","g2","R1",100,"Protein-coding gene"
0,"PPIA.TR2","A549","g2","R2",28.27094,"Protein-coding gene"
6,"PPIA.TR2","A549","g2","R2",33.93773,"Protein-coding gene"
12,"PPIA.TR2","A549","g2","R2",41.29975,"Protein-coding gene"
18,"PPIA.TR2","A549","g2","R2",50.14532,"Protein-coding gene"
24,"PPIA.TR2","A549","g2","R2",60.44,"Protein-coding gene"
30,"PPIA.TR2","A549","g2","R2",71.59337,"Protein-coding gene"
36,"PPIA.TR2","A549","g2","R2",82.58381,"Protein-coding gene"
42,"PPIA.TR2","A549","g2","R2",91.13345,"Protein-coding gene"
48,"PPIA.TR2","A549","g2","R2",96.71864,"Protein-coding gene"
54,"PPIA.TR2","A549","g2","R2",99.19661,"Protein-coding gene"
60,"PPIA.TR2","A549","g2","R2",99.86583,"Protein-coding gene"
66,"PPIA.TR2","A549","g2","R2",99.99923,"Protein-coding gene"
72,"PPIA.TR2","A549","g2","R2",99.99986,"Protein-coding gene"
78,"PPIA.TR2","A549","g2","R2",100,"Protein-coding gene"
84,"PPIA.TR2","A549","g2","R2",100,"Protein-coding gene"
90,"PPIA.TR2","A549","g2","R2",100,"Protein-coding gene"
0,"PPIA.TR2","A549","g3","R1",23.61646,"Protein-coding gene"
6,"PPIA.TR2","A549","g3","R1",28.49444,"Protein-coding gene"
12,"PPIA.TR2","A549","g3","R1",35.43387,"Protein-coding gene"
18,"PPIA.TR2","A549","g3","R1",43.92776,"Protein-coding gene"
24,"PPIA.TR2","A549","g3","R1",53.50799,"Protein-coding gene"
30,"PPIA.TR2","A549","g3","R1",65.12572,"Protein-coding gene"
36,"PPIA.TR2","A549","g3","R1",76.74707,"Protein-coding gene"
42,"PPIA.TR2","A549","g3","R1",87.01433,"Protein-coding gene"
48,"PPIA.TR2","A549","g3","R1",94.10907,"Protein-coding gene"
54,"PPIA.TR2","A549","g3","R1",97.69716,"Protein-coding gene"
60,"PPIA.TR2","A549","g3","R1",99.18868,"Protein-coding gene"
66,"PPIA.TR2","A549","g3","R1",99.90818,"Protein-coding gene"
72,"PPIA.TR2","A549","g3","R1",99.99762,"Protein-coding gene"
78,"PPIA.TR2","A549","g3","R1",99.99828,"Protein-coding gene"
84,"PPIA.TR2","A549","g3","R1",100,"Protein-coding gene"
90,"PPIA.TR2","A549","g3","R1",100,"Protein-coding gene"
0,"PPIA.TR2","A549","g3","R2",28.45995,"Protein-coding gene"
6,"PPIA.TR2","A549","g3","R2",34.31282,"Protein-coding gene"
12,"PPIA.TR2","A549","g3","R2",42.15122,"Protein-coding gene"
18,"PPIA.TR2","A549","g3","R2",51.28128,"Protein-coding gene"
24,"PPIA.TR2","A549","g3","R2",62.94254,"Protein-coding gene"
30,"PPIA.TR2","A549","g3","R2",73.65831,"Protein-coding gene"
36,"PPIA.TR2","A549","g3","R2",83.36688,"Protein-coding gene"
42,"PPIA.TR2","A549","g3","R2",91.16031,"Protein-coding gene"
48,"PPIA.TR2","A549","g3","R2",96.08707,"Protein-coding gene"
54,"PPIA.TR2","A549","g3","R2",98.71358,"Protein-coding gene"
60,"PPIA.TR2","A549","g3","R2",99.66585,"Protein-coding gene"
66,"PPIA.TR2","A549","g3","R2",99.94843,"Protein-coding gene"
72,"PPIA.TR2","A549","g3","R2",99.99831,"Protein-coding gene"
78,"PPIA.TR2","A549","g3","R2",99.9988,"Protein-coding gene"
84,"PPIA.TR2","A549","g3","R2",99.99894,"Protein-coding gene"
90,"PPIA.TR2","A549","g3","R2",99.99742,"Protein-coding gene"
0,"GAPDH","A549","g1","R1",18.99779,"CEG"
6,"GAPDH","A549","g1","R1",20.81563,"CEG"
12,"GAPDH","A549","g1","R1",22.67156,"CEG"
18,"GAPDH","A549","g1","R1",25.01516,"CEG"
24,"GAPDH","A549","g1","R1",26.60532,"CEG"
30,"GAPDH","A549","g1","R1",28.5946,"CEG"
36,"GAPDH","A549","g1","R1",30.45924,"CEG"
42,"GAPDH","A549","g1","R1",32.44557,"CEG"
48,"GAPDH","A549","g1","R1",34.6684,"CEG"
54,"GAPDH","A549","g1","R1",36.36968,"CEG"
60,"GAPDH","A549","g1","R1",38.30204,"CEG"
66,"GAPDH","A549","g1","R1",40.37579,"CEG"
72,"GAPDH","A549","g1","R1",42.47166,"CEG"
78,"GAPDH","A549","g1","R1",44.8073,"CEG"
84,"GAPDH","A549","g1","R1",46.53373,"CEG"
90,"GAPDH","A549","g1","R1",48.90987,"CEG"
0,"GAPDH","A549","g1","R2",19.9186,"CEG"
6,"GAPDH","A549","g1","R2",22.03514,"CEG"
12,"GAPDH","A549","g1","R2",24.4333,"CEG"
18,"GAPDH","A549","g1","R2",26.86861,"CEG"
24,"GAPDH","A549","g1","R2",28.79955,"CEG"
30,"GAPDH","A549","g1","R2",30.29283,"CEG"
36,"GAPDH","A549","g1","R2",31.91522,"CEG"
42,"GAPDH","A549","g1","R2",33.82189,"CEG"
48,"GAPDH","A549","g1","R2",35.59676,"CEG"
54,"GAPDH","A549","g1","R2",37.62128,"CEG"
60,"GAPDH","A549","g1","R2",39.60613,"CEG"
66,"GAPDH","A549","g1","R2",41.36771,"CEG"
72,"GAPDH","A549","g1","R2",43.2616,"CEG"
78,"GAPDH","A549","g1","R2",45.28447,"CEG"
84,"GAPDH","A549","g1","R2",46.8477,"CEG"
90,"GAPDH","A549","g1","R2",48.7255,"CEG"
0,"GAPDH","A549","g2","R1",22.13205,"CEG"
6,"GAPDH","A549","g2","R1",25.81966,"CEG"
12,"GAPDH","A549","g2","R1",30.38574,"CEG"
18,"GAPDH","A549","g2","R1",35.34451,"CEG"
24,"GAPDH","A549","g2","R1",39.6504,"CEG"
30,"GAPDH","A549","g2","R1",42.88753,"CEG"
36,"GAPDH","A549","g2","R1",47.45185,"CEG"
42,"GAPDH","A549","g2","R1",50.70963,"CEG"
48,"GAPDH","A549","g2","R1",53.9897,"CEG"
54,"GAPDH","A549","g2","R1",57.46082,"CEG"
60,"GAPDH","A549","g2","R1",61.06884,"CEG"
66,"GAPDH","A549","g2","R1",64.37988,"CEG"
72,"GAPDH","A549","g2","R1",67.65549,"CEG"
78,"GAPDH","A549","g2","R1",70.3594,"CEG"
84,"GAPDH","A549","g2","R1",73.27609,"CEG"
90,"GAPDH","A549","g2","R1",75.42094,"CEG"
0,"GAPDH","A549","g2","R2",21.80041,"CEG"
6,"GAPDH","A549","g2","R2",25.62493,"CEG"
12,"GAPDH","A549","g2","R2",29.42538,"CEG"
18,"GAPDH","A549","g2","R2",34.45551,"CEG"
24,"GAPDH","A549","g2","R2",38.71044,"CEG"
30,"GAPDH","A549","g2","R2",42.53218,"CEG"
36,"GAPDH","A549","g2","R2",46.41984,"CEG"
42,"GAPDH","A549","g2","R2",49.92875,"CEG"
48,"GAPDH","A549","g2","R2",52.91523,"CEG"
54,"GAPDH","A549","g2","R2",56.39141,"CEG"
60,"GAPDH","A549","g2","R2",59.94265,"CEG"
66,"GAPDH","A549","g2","R2",61.79414,"CEG"
72,"GAPDH","A549","g2","R2",65.67868,"CEG"
78,"GAPDH","A549","g2","R2",68.62724,"CEG"
84,"GAPDH","A549","g2","R2",70.27504,"CEG"
90,"GAPDH","A549","g2","R2",73.56894,"CEG"
0,"GAPDH","A549","g3","R1",19.37903,"CEG"
6,"GAPDH","A549","g3","R1",21.9983,"CEG"
12,"GAPDH","A549","g3","R1",25.06619,"CEG"
18,"GAPDH","A549","g3","R1",27.93032,"CEG"
24,"GAPDH","A549","g3","R1",30.56432,"CEG"
30,"GAPDH","A549","g3","R1",32.74663,"CEG"
36,"GAPDH","A549","g3","R1",35.33707,"CEG"
42,"GAPDH","A549","g3","R1",37.95654,"CEG"
48,"GAPDH","A549","g3","R1",40.58839,"CEG"
54,"GAPDH","A549","g3","R1",43.30515,"CEG"
60,"GAPDH","A549","g3","R1",45.93714,"CEG"
66,"GAPDH","A549","g3","R1",49.08085,"CEG"
72,"GAPDH","A549","g3","R1",50.83832,"CEG"
78,"GAPDH","A549","g3","R1",53.26472,"CEG"
84,"GAPDH","A549","g3","R1",55.74091,"CEG"
90,"GAPDH","A549","g3","R1",57.64109,"CEG"
0,"GAPDH","A549","g3","R2",17.65821,"CEG"
6,"GAPDH","A549","g3","R2",19.41883,"CEG"
12,"GAPDH","A549","g3","R2",21.30509,"CEG"
18,"GAPDH","A549","g3","R2",23.33414,"CEG"
24,"GAPDH","A549","g3","R2",25.10872,"CEG"
30,"GAPDH","A549","g3","R2",27.01496,"CEG"
36,"GAPDH","A549","g3","R2",28.69199,"CEG"
42,"GAPDH","A549","g3","R2",30.38902,"CEG"
48,"GAPDH","A549","g3","R2",31.99628,"CEG"
54,"GAPDH","A549","g3","R2",33.17137,"CEG"
60,"GAPDH","A549","g3","R2",34.3036,"CEG"
66,"GAPDH","A549","g3","R2",35.63506,"CEG"
72,"GAPDH","A549","g3","R2",36.99727,"CEG"
78,"GAPDH","A549","g3","R2",37.97411,"CEG"
84,"GAPDH","A549","g3","R2",38.67807,"CEG"
90,"GAPDH","A549","g3","R2",39.18153,"CEG"
0,"ZFAS1","A549","g1","R1",26.06174,"LncRNA"
6,"ZFAS1","A549","g1","R1",31.89224,"LncRNA"
12,"ZFAS1","A549","g1","R1",38.76159,"LncRNA"
18,"ZFAS1","A549","g1","R1",46.12119,"LncRNA"
24,"ZFAS1","A549","g1","R1",53.18696,"LncRNA"
30,"ZFAS1","A549","g1","R1",58.90888,"LncRNA"
36,"ZFAS1","A549","g1","R1",64.62791,"LncRNA"
42,"ZFAS1","A549","g1","R1",69.22064,"LncRNA"
48,"ZFAS1","A549","g1","R1",73.36482,"LncRNA"
54,"ZFAS1","A549","g1","R1",76.10486,"LncRNA"
60,"ZFAS1","A549","g1","R1",78.7985,"LncRNA"
66,"ZFAS1","A549","g1","R1",79.74717,"LncRNA"
72,"ZFAS1","A549","g1","R1",79.98479,"LncRNA"
78,"ZFAS1","A549","g1","R1",79.96461,"LncRNA"
84,"ZFAS1","A549","g1","R1",79.40041,"LncRNA"
90,"ZFAS1","A549","g1","R1",78.19855,"LncRNA"
0,"ZFAS1","A549","g1","R2",27.97932,"LncRNA"
6,"ZFAS1","A549","g1","R2",34.6349,"LncRNA"
12,"ZFAS1","A549","g1","R2",43.46876,"LncRNA"
18,"ZFAS1","A549","g1","R2",52.38877,"LncRNA"
24,"ZFAS1","A549","g1","R2",62.22825,"LncRNA"
30,"ZFAS1","A549","g1","R2",71.53071,"LncRNA"
36,"ZFAS1","A549","g1","R2",79.17984,"LncRNA"
42,"ZFAS1","A549","g1","R2",85.77667,"LncRNA"
48,"ZFAS1","A549","g1","R2",90.8828,"LncRNA"
54,"ZFAS1","A549","g1","R2",94.55783,"LncRNA"
60,"ZFAS1","A549","g1","R2",96.97079,"LncRNA"
66,"ZFAS1","A549","g1","R2",98.32596,"LncRNA"
72,"ZFAS1","A549","g1","R2",98.94328,"LncRNA"
78,"ZFAS1","A549","g1","R2",99.349,"LncRNA"
84,"ZFAS1","A549","g1","R2",99.61893,"LncRNA"
90,"ZFAS1","A549","g1","R2",99.80489,"LncRNA"
0,"ZFAS1","A549","g2","R1",27.5042,"LncRNA"
6,"ZFAS1","A549","g2","R1",33.17311,"LncRNA"
12,"ZFAS1","A549","g2","R1",40.41026,"LncRNA"
18,"ZFAS1","A549","g2","R1",49.41928,"LncRNA"
24,"ZFAS1","A549","g2","R1",58.12981,"LncRNA"
30,"ZFAS1","A549","g2","R1",66.14072,"LncRNA"
36,"ZFAS1","A549","g2","R1",74.314,"LncRNA"
42,"ZFAS1","A549","g2","R1",81.21792,"LncRNA"
48,"ZFAS1","A549","g2","R1",86.73663,"LncRNA"
54,"ZFAS1","A549","g2","R1",90.77724,"LncRNA"
60,"ZFAS1","A549","g2","R1",93.7044,"LncRNA"
